ts	phase	decision	why	evidence	result
2026-09-16T10:45:43Z	remediation	closed all five second-review findings and the integration migration collision	advertised pager truncation, unvalidated redirect hops, mutable-only evidence links, false document emptiness, and misclassified PDF-only comments weakened the proof; migration integer 006 was reserved elsewhere	commits 38f8cfd, fad295a, and ad4f40a; migration 007_observation_evidence.sql	350 tests; 6216 statements and 1606 branches at 100% coverage; lint, format, and strict typing clean
2026-09-16T10:45:43Z	live-qualification	rebuilt the complete official Devon qualification under the corrected boundaries	the changed redirect, document-section, comment-state, and evidence-link behavior required a fresh bootstrap rather than a terminal-only replay	.yimby/qualification-devon-2026-09-16/devon-qualification-v1.json; SHA-256 5a9fab5eb5802d60a099c5c646db43210bc4ec8d4716be081d2c4f78c8628dbd	56 applications; 68 requests; 6648256 bytes; 0 attachment bodies; 25 complete and 31 unavailable document sections; all comments unavailable; all 12 checks true
2026-09-16T10:45:43Z	verification	repeated the corrected terminal resume	the persisted first-pass receipt must survive the new per-observation and full-manifest evidence reconciliation without new transport activity	SHA-256 5a9fab5eb5802d60a099c5c646db43210bc4ec8d4716be081d2c4f78c8628dbd	receipt byte-identical; 0 requests, 0 bytes, and 0 attachment bodies on rerun; weekly cycles pending; LIVE_READY unchanged
2026-09-16T11:06:59Z	remediation	closed all five third-review findings with red-green regressions	a detail response carrying a pager, compacted query totals, redirect-hop throttling, non-gzip residual evidence files, and off-origin document links were not yet fail-closed	commits 4f6ee98 and 539624c; receipt schema v2	351 tests; 6225 statements and 1612 branches at 100% coverage; lint, format, and strict typing clean
2026-09-16T11:06:59Z	live-qualification	rebuilt the complete official Devon qualification with durable query summaries	the new terminal checkpoint and receipt proof could not be reconstructed honestly from the compacted v1 state	.yimby/qualification-devon-2026-09-16/devon-qualification-v2.json; SHA-256 93f25e8c0b905e5a0327def412d1347468a50d8fd7dd61f49249057391f0c196	query rows/pages 3/1, 1/1, and 55/6; 56 applications; 68 requests; 6648256 bytes; 0 attachment bodies; all 12 checks true
2026-09-16T11:07:15Z	verification	repeated the v2 terminal resume and reconciled the store	the added proof and all-file evidence inventory must survive without network activity or receipt mutation	SHA-256 93f25e8c0b905e5a0327def412d1347468a50d8fd7dd61f49249057391f0c196	byte-identical receipt; SQLite ok; 56 observations, 56 observation-evidence links, 56 evidence files, 1368 document metadata rows; migrations 1,2,3,4,5,7; weekly cycles pending; LIVE_READY unchanged
2026-09-16T12:03:41Z	remediation	closed all six fourth-review findings with test-first changes	the prior scope omitted appeal searches and published detail sections, could not roll a terminal checkpoint into a later weekly scope, omitted document category/date, could re-mint a missing receipt from zero-I/O state, and persisted a blocked registry row	commits 1f900fe, 635eb1d, 18cf376, 1cfc2f1, edf7f07, and 97bc07b; migration 008_document_metadata_fields.sql	352 tests; 6399 statements and 1668 branches at 100% coverage; lint, format, and strict typing clean before documentation
2026-09-16T12:03:41Z	live-qualification	rebuilt the complete official Devon qualification across planning and appeal routes	the six-query and expanded native-detail contracts required fresh official evidence rather than reconstructing claims from the earlier planning-only store	.yimby/qualification-devon-2026-09-16/devon-qualification-v3.json; SHA-256 0db784ad49bebd39d6094f095898c5e0c7c966f66bb30b514440cf8a7451270c	query rows/pages 3/1, 1/1, 55/6, 0/1, 0/1, and 11/2; 67 records; 86 requests; 8234248 bytes; 0 attachment bodies; all 12 checks true
2026-09-16T12:03:41Z	verification	repeated the v3 terminal resume and reconciled native, semantic, document, and evidence state	the first-pass proof must remain immutable while the complete terminal store performs no physical I/O	SHA-256 0db784ad49bebd39d6094f095898c5e0c7c966f66bb30b514440cf8a7451270c	byte-identical receipt; SQLite ok; 67 observations, native versions, evidence links, and gzip files; 56 planning and 11 appeal payloads; 1470 categorized and dated document rows; migrations 1,2,3,4,5,7,8; weekly cycles pending; LIVE_READY unchanged
2026-09-16T12:30:00Z	remediation	closed all seven fifth-review findings and one live placeholder edge with test-first changes	planning and appeal identities shared a namespace, appeal singleton and redirect identity were incomplete, appeal common metadata retained the wrong values, capability and event projections were last-record or append based, and discovery pages lacked durable evidence	commits fa3283f, cd194ff, f6378a6, and 4015324; migration 009_discovery_evidence.sql	354 tests; 6477 statements and 1700 branches at 100% coverage; lint and strict typing clean
2026-09-16T12:45:33Z	live-qualification	rebuilt the complete official Devon qualification with source-qualified identities and retained discovery evidence	the identity, normalization, current-projection, and evidence changes required a fresh official bootstrap rather than reuse of v3	.yimby/qualification-devon-2026-09-16/devon-qualification-v4.json; SHA-256 92257631183178fa507504111bcf4b96b265c5b4e76dfe30405247b6ea370e8e	query rows/pages 3/1, 1/1, 55/6, 0/1, 0/1, and 11/2; 67 applications; 86 requests; 8234248 bytes; 0 attachment bodies; all 13 checks true
2026-09-16T12:46:00Z	verification	repeated the v4 terminal resume and reconciled identities, projections, and both evidence classes	the finalized receipt and store must prove the exact search pages and detail observations without new transport activity or placeholder leakage	SHA-256 92257631183178fa507504111bcf4b96b265c5b4e76dfe30405247b6ea370e8e	byte-identical receipt; SQLite ok; 56 planning and 11 appeal identities; 67 observation links; 19 discovery links across 12 pages; 84 evidence files; 10 aliases; 6 relationships; no placeholder parties or decisions; migrations 1,2,3,4,5,7,8,9; weekly cycles pending; LIVE_READY unchanged
2026-09-16T13:42:19Z	remediation	closed all five sixth-review findings and two live-only boundary mismatches with test-first changes	partial qualification had to remain resumable without permitting terminal receipt re-minting; evidence links needed exact request and record subjects; attachment proof and redirect queries needed stricter validation; local-member lines needed preservation; the live portal used a validated queried acceptance action and capitalized hidden boolean	commits 2c7a2c4, 0f32f28, a7edb5e, and e3121c4; migration 010_evidence_subjects.sql	360 tests; 6563 statements and 1732 branches at 100% coverage; lint, format, and strict typing clean before documentation
2026-09-16T13:42:19Z	live-qualification	rebuilt the complete official Devon qualification with subject-bound discovery and observation evidence	the new request, response, and native-payload bindings required a fresh official bootstrap rather than a terminal-only replay	.yimby/qualification-devon-2026-09-16/devon-qualification-v5.json; SHA-256 7e0cb5f04bf1d0b4dd3751b3783b305cefa5628f558ce7500321e47d669c5b74	query rows/pages 3/1, 1/1, 55/6, 0/1, 0/1, and 11/2; 67 applications; 86 requests; 8235128 bytes; 0 attachment bodies; all 13 checks true
2026-09-16T13:42:19Z	verification	repeated the v5 terminal resume and reconciled every evidence subject	the receipt must preserve genuine first-pass costs while the complete store revalidates without transport activity or receipt mutation	SHA-256 7e0cb5f04bf1d0b4dd3751b3783b305cefa5628f558ce7500321e47d669c5b74	byte-identical receipt; SQLite ok; 67 observation links, 12 discovery links across 12 pages, 77 evidence files, zero missing subjects, migrations 1,2,3,4,5,7,8,9,10; immediate follow-up 0 requests, 0 bytes, and 0 attachment bodies; weekly cycles pending; LIVE_READY unchanged
